DATA;PROVINCIA;LOCALITA;TIPO;TRAVOLTI;ILLESI;FERITI;MORTI
10/12/2008;BL;strada Passo Fedaia;6;1;1;0;0
12/12/2008;BZ;Brunico - Plan de Corones;3;1;0;1;0
14/12/2008;LC;Grignetta - Cresta Cermenati;5;1;0;1;0
14/12/2008;SO;Valchiavenna - Val dei Ratti - Loc. Frasnedo;8;1;0;1;0
15/12/2008;TO;Val Soana - Roccia Bianca - Grangia Randonero;8;1;0;0;1
16/12/2008;TO;Val Chisone - Fenestrelle;6;1;1;0;0
20/12/2008;BZ;Alpi Sarentine - punta Cervina;1;2;2;0;0
21/12/2008;TN;P.sso Sella;6;1;0;1;0
24/12/2008;BL;Strada P. Campolongo;6;1;1;0;0
18/01/2009;BG;Valseriana C di Grem;2;1;0;1;0
20/01/2009;BL;Strada Passo Giau;6;2;2;0;0
20/01/2009;BL;Strada Misurina;6;1;1;0;0
21/01/2009;TN;Ciampedie- pista Cigolade;4;4;2;2;0
22/01/2009;SO;Valfurva - Monte Vallecetta;3;1;1;0;0
22/01/2009;BZ;Campo Tures - Monte Spico;3;1;0;1;0
22/01/2009;BL;Faloria - Stratondi;4;2;2;0;0
25/01/2009;BZ;Val Senales;3;1;0;1;0
25/01/2009;BL;Ra Vales - Cortina;3;1;1;0;0
31/01/2009;CN;Valle Stura di Demonte - Cima delle Lose;1;5;4;1;0
31/01/2009;BL;Strada Arabba;6;3;3;0;0
03/02/2009;BL;Palantina;1;2;2;0;0
03/02/2009;BS;Ponte di Legno - Tonale - Vallazza;3;1;0;0;1
